0	4.90E+04	5.27E+07
0	4.90E+04	5.27E+07
0	4.90E+04	5.27E+07
2	nan	3.96E+07
2	nan	3.48E+07
2	nan	3.37E+07
7	nan	2.44E+07
7	nan	2.24E+07
7	nan	1.93E+07
14	4.10E+04	9.92E+06
14	2.30E+05	1.32E+07
14	1.10E+05	8.58E+06
31	nan	3.45E+06
31	nan	1.38E+06
31	nan	3.03E+06
38	6.80E+03	2.18E+06
38	1.30E+03	7.03E+05
38	4.90E+03	1.37E+06
